id,subject_id,section_id,room_id,day_of_week,start_time,end_time
407,64,172,91,Monday,07:30:00,09:00:00
408,71,172,116,Monday,16:30:00,18:00:00
409,75,172,87,Monday,19:30:00,21:00:00
410,65,172,109,Wednesday,16:30:00,18:00:00
411,69,172,141,Wednesday,07:30:00,09:00:00
412,60,172,140,Wednesday,06:00:00,07:30:00
413,66,172,131,Friday,09:00:00,10:30:00
414,70,172,89,Friday,09:00:00,10:30:00
415,65,173,145,Saturday,13:30:00,15:00:00
416,66,173,132,Saturday,16:30:00,18:00:00
417,72,173,103,Saturday,06:00:00,07:30:00
418,70,173,113,Tuesday,13:30:00,15:00:00
419,73,173,112,Tuesday,16:30:00,18:00:00
420,74,173,143,Tuesday,07:30:00,09:00:00
421,69,173,92,Thursday,16:30:00,18:00:00
422,67,173,115,Thursday,13:30:00,15:00:00
423,72,174,147,Wednesday,09:00:00,10:30:00
424,73,174,120,Wednesday,16:30:00,18:00:00
425,74,174,148,Wednesday,06:00:00,07:30:00
426,68,174,89,Tuesday,13:30:00,15:00:00
427,58,174,123,Tuesday,16:30:00,18:00:00
428,71,174,115,Tuesday,07:30:00,09:00:00
429,61,174,141,Thursday,10:30:00,12:00:00
430,67,174,103,Thursday,10:30:00,12:00:00
431,72,175,139,Thursday,10:30:00,12:00:00
432,74,175,142,Thursday,13:30:00,15:00:00
433,58,175,109,Thursday,12:00:00,13:30:00
434,62,175,88,Monday,09:00:00,10:30:00
435,59,175,94,Monday,15:00:00,16:30:00
436,66,175,154,Monday,15:00:00,16:30:00
437,64,175,153,Saturday,07:30:00,09:00:00
438,75,175,100,Saturday,09:00:00,10:30:00
439,70,176,114,Tuesday,13:30:00,15:00:00
440,66,176,124,Tuesday,12:00:00,13:30:00
441,61,176,129,Tuesday,12:00:00,13:30:00
442,59,176,117,Saturday,09:00:00,10:30:00
443,75,176,132,Saturday,09:00:00,10:30:00
444,72,176,88,Saturday,07:30:00,09:00:00
445,63,176,109,Friday,12:00:00,13:30:00
446,67,176,126,Friday,09:00:00,10:30:00
447,61,177,155,Friday,12:00:00,13:30:00
448,63,177,83,Friday,06:00:00,07:30:00
449,64,177,98,Friday,06:00:00,07:30:00
450,67,177,123,Saturday,07:30:00,09:00:00
