"id","subject_code","subject_name","department_id","year_level"
"7","PE1","Physical Fitness and Gymnastics","1","1"
"8","GE1","Understanding the self","1","1"
"9","GE3","The Contemporary World","1","1"
"11","GE4","Mathematics in the Modern World","1","1"
"12","CC101","Introduction to Computing","1","1"
"13","CC102","Computer Programming 1","1","1"
"14","KOMFIL","Kontekstwalisadong Komunikasyon sa Filipino","1","1"
"15","NSTP1","National Service Training Program 1","1","1"
"16","GE2","Readings in Philippine History","1","1"
"17","FILDIS","Filipino sa iba't-ibang Displina","1","1"
"18","GE6","Art Appreciation","1","1"
"19","GE7","Science and Technology (ST) and Society","1","1"
"20","GE8","Ethics","1","1"
"21","MIS101","Discrete Mathematics","1","1"
"22","CC103","Computer Programming 2","1","1"
"23","NSTP2","National Service Training Program 2","1","1"
"24","PE2","Folk Dance and Rhytmic Activities","1","1"
"25","GE5","Purposive Communication","1","1"
"26","CC104","Data Structures And Algorithms","1","2"
"27","HCI101","Introduction To Human Computer Interaction","1","2"
"28","MS102","Quantitative Methods with Modeling Simulation","1","2"
"29","IPT101","Integrative Programming And Technologies 1","1","2"
"30","ITE1","IT ELECTIVE 1 (Web Fundamentals)","1","2"
"31","SOSLIT","Sosyedad at Literatura","1","2"
"32","PE3","Individual and Dual Sports","1","2"
"33","NET101","Networking 1","1","2"
"34","PE4","Team Sports","1","2"
"35","ITE2","IT ELECTIVE 2 (Advance Javaor OOP)","1","2"
"36","WEB101","Web Development (Advance Web / Platform)","1","2"
"37","NET102","Networking 2","1","2"
"38","CC105","Information Management","1","2"
"39","SIA101","System Integration and Architecture 1","1","2"
"40","DM102","Financial Management","1","2"
"41","GE9","The Life and Works of Jose Rizal","1","2"
"42","ITE3","IT ELECTIVE 3 (Research)","1","3"
"43","ITSP1C","Business Continuity","1","3"
"44","CC106","Application Development and Emerging Technologies","1","3"
"45","IAS101","Information Assurance and Security 1","1","3"
"46","IM101","Fundamentals of Database System","1","3"
"47","PM101","Project Management","1","3"
"48","SA101","System Administration And Maintenance","1","3"
"49","BPM101","Business Process Management in IT","1","3"
"50","TEC101","Technopreneurship","1","3"
"51","IAS102","Information Assurance and Security 2","1","3"
"52","SP101","Social and Professional Issues","1","3"
"53","ITSP2C","Web Security","1","3"
"54","ITSP3C","Data Privacy and Security","1","4"
"55","PRAC3301","OJT - Practicum 1","1","4"
"56","CAP101","Capstone Project 1","1","4"
"57","ITE4","IT ELECTIVE 4 (System Integration and Architecture 2)","1","4"
"58","PE1","Physical Fitness and Gymnastics","2","1"
"59","GE1","Understanding the self","2","1"
"60","GE3","The Contemporary World","2","1"
"61","GE4","Mathematics in the Modern World","2","1"
"62","CC101","Introduction to Computing","2","1"
"63","CC102","Computer Programming 1","2","1"
"64","KOMFIL","Kontekstwalisadong Komunikasyon sa Filipino","2","1"
"65","NSTP1","National Service Training Program 1","2","1"
"66","GE2","Readings in Philippine History","2","1"
"67","FILDIS","Filipino sa iba't-ibang Displina","2","1"
"68","GE6","Art Appreciation","2","1"
"69","GE7","Science and Technology (ST) and Society","2","1"
"70","GE8","Ethics","2","1"
"71","MIS101","Discrete Mathematics","2","1"
"72","CC103","Computer Programming 2","2","1"
"73","NSTP2","National Service Training Program 2","2","1"
"74","PE2","Folk Dance and Rhytmic Activities","2","1"
"75","GE5","Purposive Communication","2","1"
"76","CC104","Data Structures And Algorithms","2","2"
"77","HCI101","Introduction To Human Computer Interaction","2","2"
"78","MS102","Quantitative Methods with Modeling Simulation","2","2"
"79","IPT101","Integrative Programming And Technologies 1","2","2"
"80","ITE1","IT ELECTIVE 1 (Web Fundamentals)","2","2"
"81","SOSLIT","Sosyedad at Literatura","2","2"
"82","PE3","Individual and Dual Sports","2","2"
"83","NET101","Networking 1","2","2"
"84","PE4","Team Sports","2","2"
"85","ITE2","IT ELECTIVE 2 (Advance Javaor OOP)","2","2"
"86","WEB101","Web Development (Advance Web / Platform)","2","2"
