"id","subject_id","section_id","room_id","day_of_week","start_time","end_time"
"36","14","5","1","Monday","06:00:00","08:00:00"
"37","7","5","1","Monday","08:00:00","10:00:00"
"38","8","5","4","Tuesday","06:00:00","08:00:00"
"39","9","5","11","Tuesday","08:00:00","10:00:00"
"41","12","5","1","Friday","08:00:00","11:00:00"
"42","9","5","8","Monday","10:00:00","12:00:00"
"43","15","5","9","Monday","12:00:00","14:00:00"
"44","16","5","14","Tuesday","10:00:00","12:00:00"
"45","14","100","14","Monday","06:00:00","08:00:00"
"46","7","100","13","Monday","08:00:00","10:00:00"
"47","9","100","12","Monday","10:00:00","12:00:00"
"49","8","100","14","Wednesday","06:00:00","08:00:00"
"51","12","100","34","Friday","06:00:00","08:00:00"
"52","16","100","34","Friday","08:00:00","10:00:00"
"53","15","100","13","Friday","10:00:00","12:00:00"
"54","7","101","14","Tuesday","06:00:00","08:00:00"
"55","7","102","31","Monday","06:00:00","08:00:00"
"56","7","103","31","Tuesday","06:00:00","08:00:00"
"57","12","104","11","Monday","06:00:00","08:00:00"
"58","12","105","10","Tuesday","06:00:00","08:00:00"
"64","8","101","13","Tuesday","08:00:00","10:00:00"
"65","9","101","12","Tuesday","10:00:00","12:00:00"
"67","12","101","12","Thursday","10:00:00","12:00:00"
"69","14","101","34","Saturday","08:00:00","10:00:00"
"70","15","101","34","Saturday","10:00:00","12:00:00"
"72","13","100","13","Wednesday","08:00:00","10:00:00"
"73","13","101","13","Thursday","08:00:00","10:00:00"
"74","16","101","34","Saturday","06:00:00","08:00:00"
"75","8","102","31","Monday","08:00:00","10:00:00"
"76","9","102","31","Monday","10:00:00","12:00:00"
"77","11","102","31","Wednesday","06:00:00","08:00:00"
"78","12","102","11","Wednesday","08:30:00","10:30:00"
"79","13","102","10","Wednesday","10:30:00","12:30:00"
"80","14","102","11","Friday","06:00:00","08:00:00"
"81","15","102","31","Friday","08:00:00","10:00:00"
"82","16","102","31","Friday","10:00:00","12:00:00"
"83","8","103","31","Tuesday","08:00:00","10:00:00"
"84","9","103","31","Tuesday","10:00:00","12:00:00"
"85","11","103","31","Thursday","06:00:00","08:00:00"
"86","12","103","11","Thursday","08:30:00","10:30:00"
"87","13","103","10","Thursday","10:30:00","12:30:00"
"88","14","103","31","Saturday","06:00:00","08:00:00"
"89","15","103","31","Saturday","08:00:00","10:00:00"
"90","16","103","31","Saturday","10:00:00","12:00:00"
"91","13","104","10","Monday","08:00:00","10:00:00"
"93","7","104","30","Wednesday","06:00:00","08:00:00"
"94","8","104","30","Wednesday","09:00:00","10:30:00"
"95","9","104","30","Wednesday","10:30:00","12:00:00"
"96","15","104","30","Friday","06:00:00","08:00:00"
"97","14","104","30","Friday","08:00:00","09:30:00"
"98","16","104","30","Friday","10:30:00","12:00:00"
"99","13","105","11","Tuesday","08:00:00","10:00:00"
"101","9","105","30","Thursday","06:30:00","08:00:00"
"102","7","105","30","Thursday","08:30:00","10:00:00"
"103","8","105","30","Thursday","10:30:00","12:00:00"
"104","16","105","30","Saturday","06:00:00","08:00:00"
"105","14","105","30","Saturday","08:30:00","10:00:00"
"106","15","105","30","Saturday","10:30:00","12:00:00"
"107","16","106","29","Monday","06:30:00","08:00:00"
"108","15","106","29","Monday","08:00:00","10:30:00"
"109","14","106","29","Monday","10:30:00","12:00:00"
"110","7","106","29","Wednesday","06:00:00","08:00:00"
"111","8","106","29","Wednesday","08:30:00","10:00:00"
"112","9","106","29","Wednesday","10:30:00","00:00:00"
"116","13","106","9","Friday","08:30:00","10:30:00"
"117","12","106","8","Friday","10:30:00","12:30:00"
"118","15","6","1","Wednesday","15:00:00","16:30:00"
"119","8","6","8","Wednesday","16:30:00","18:00:00"
"120","7","107","28","Tuesday","06:30:00","08:00:00"
"121","8","107","28","Tuesday","08:00:00","10:00:00"
"122","9","107","28","Tuesday","10:30:00","12:00:00"
"124","12","107","14","Thursday","08:00:00","10:00:00"
"125","13","107","13","Thursday","10:00:00","12:00:00"
"126","14","107","28","Saturday","08:00:00","10:00:00"
"127","15","107","28","Monday","10:30:00","12:00:00"
"128","16","107","28","Saturday","06:30:00","08:00:00"
"129","17","20","55","Monday","00:00:00","00:00:00"
"130","18","20","55","Monday","00:00:00","00:00:00"
"131","19","20","55","Monday","00:00:00","00:00:00"
"132","20","20","55","Friday","00:00:00","00:00:00"
"133","21","20","55","Friday","00:00:00","00:00:00"
"134","22","20","55","Wednesday","00:00:00","00:00:00"
"135","23","20","55","Wednesday","00:00:00","00:00:00"
"136","24","20","55","Wednesday","00:00:00","00:00:00"
"137","17","21","52","Monday","00:00:00","00:00:00"
"138","18","21","52","Monday","00:00:00","00:00:00"
"139","19","21","52","Monday","00:00:00","00:00:00"
"140","20","21","52","Wednesday","00:00:00","00:00:00"
"141","21","21","52","Wednesday","00:00:00","00:00:00"
"142","22","21","52","Friday","00:00:00","00:00:00"
"143","23","21","52","Friday","00:00:00","00:00:00"
"144","24","21","52","Friday","00:00:00","00:00:00"
"145","17","22","50","Monday","00:00:00","00:00:00"
"146","18","22","50","Monday","00:00:00","00:00:00"
"147","19","22","50","Wednesday","00:00:00","00:00:00"
"148","20","22","50","Wednesday","00:00:00","00:00:00"
"149","21","22","50","Wednesday","00:00:00","00:00:00"
"150","22","22","50","Friday","00:00:00","00:00:00"
"151","23","22","50","Friday","00:00:00","00:00:00"
"152","24","22","50","Friday","00:00:00","00:00:00"
"161","24","23","48","Friday","00:00:00","00:00:00"
"162","23","23","48","Friday","00:00:00","00:00:00"
"163","22","23","48","Friday","00:00:00","00:00:00"
"164","21","23","48","Wednesday","12:00:00","12:00:00"
"165","20","23","48","Wednesday","00:00:00","00:00:00"
"166","19","23","48","Monday","00:00:00","00:00:00"
